SST (h),Natural Failures,Hard Capacity Removal (%),Natural Loss (%),Total Loss (%),Final Capacity (%),Throttled Load (%),Dropped Load (%),Operational Nodes,alpha,Method,Scenario
4.766666666666667,37,0.0,40.42980348561221,40.42980348561221,59.57019301498949,0.22117903156037244,0.20445557294443287,63,1.1,Heuristic Pruning (Graceful Drain),14
4.766666666666667,36,0.0,40.8463052439408,40.8463052439408,59.15370012909082,0.23706958874730857,0.21147189477356054,64,1.1,Heuristic Pruning (Graceful Drain),15
6.533333333333333,40,0.0,40.1593715140572,40.1593715140572,59.84061984408535,0.15679466370497128,0.14311247888642867,60,1.1,Heuristic Pruning (Graceful Drain),16
5.783333333333333,41,0.0,40.52676817902832,40.52676817902832,59.47322888017992,0.18568275926496142,0.16807096215772147,59,1.1,Heuristic Pruning (Graceful Drain),17
5.816666666666666,39,0.0,40.253613687068345,40.253613687068345,59.746381084162856,0.18309760564942199,0.16497654720922417,61,1.1,Heuristic Pruning (Graceful Drain),18
5.816666666666666,36,0.0,40.51280192363621,40.51280192363621,59.48719258128898,0.16808768988740855,0.15773971109520693,64,1.1,Heuristic Pruning (Graceful Drain),19
5.333333333333333,37,0.0,40.19759678303665,40.19759678303665,59.80240448294456,0.20570035606305404,0.18708410156483699,63,1.1,Heuristic Pruning (Graceful Drain),20
4.483333333333333,40,0.0,40.52037627034456,40.52037627034456,59.479638066315886,0.22704202290373504,0.2066257215056622,60,1.1,Heuristic Pruning (Graceful Drain),21
6.033333333333333,38,0.0,40.591748251099496,40.591748251099496,59.40826246497547,0.16883294498210139,0.1569775218686362,62,1.1,Heuristic Pruning (Graceful Drain),22
3.5666666666666664,40,0.0,40.060551238225756,40.060551238225756,59.93944870079915,0.29647518007301,0.26316281849083406,60,1.1,Heuristic Pruning (Graceful Drain),23
5.316666666666666,41,0.0,40.324385918121635,40.324385918121635,59.67561304312833,0.1846642453078827,0.17318706129894518,59,1.1,Heuristic Pruning (Graceful Drain),24
6.483333333333333,44,0.0,41.40821759347079,41.40821759347079,58.59178138992183,0.15477538783979644,0.14484541100923,56,1.1,Heuristic Pruning (Graceful Drain),25
4.45,43,0.0,40.18836321029162,40.18836321029162,59.81163609070196,0.2290565894829953,0.21111874497886912,57,1.1,Heuristic Pruning (Graceful Drain),26
5.483333333333333,40,0.0,40.53247472479966,40.53247472479966,59.4675307756298,0.1990756215147453,0.18268788617844597,60,1.1,Heuristic Pruning (Graceful Drain),27
5.883333333333333,44,0.0,40.54380819310532,40.54380819310532,59.45619678825058,0.18798503794555224,0.16821009323868014,56,1.1,Heuristic Pruning (Graceful Drain),28
