Drop Fraction,Method,Scenario,SST (h)
0.2,No Defence,19,3.5666666666666664
0.2,No Defence,20,3.8166666666666664
0.2,GAT-SAC (Ours),1,10.933333333333334
0.2,GAT-SAC (Ours),2,11.85
0.2,GAT-SAC (Ours),3,9.5
0.2,GAT-SAC (Ours),4,16.066666666666666
0.2,GAT-SAC (Ours),5,16.383333333333333
0.2,GAT-SAC (Ours),6,13.616666666666667
0.2,GAT-SAC (Ours),7,12.316666666666666
0.2,GAT-SAC (Ours),8,16.5
0.2,GAT-SAC (Ours),9,12.566666666666666
0.2,GAT-SAC (Ours),10,13.45
0.2,GAT-SAC (Ours),11,15.916666666666666
0.2,GAT-SAC (Ours),12,13.299999999999999
0.2,GAT-SAC (Ours),13,13.049999999999999
0.2,GAT-SAC (Ours),14,10.283333333333333
0.2,GAT-SAC (Ours),15,13.049999999999999
0.2,GAT-SAC (Ours),16,15.7
0.2,GAT-SAC (Ours),17,14.066666666666666
0.2,GAT-SAC (Ours),18,15.733333333333333
0.2,GAT-SAC (Ours),19,12.783333333333333
0.2,GAT-SAC (Ours),20,10.633333333333333
0.2,DQN Baseline (Discrete),1,0.6
0.2,DQN Baseline (Discrete),2,0.5666666666666667
0.2,DQN Baseline (Discrete),3,0.5
0.2,DQN Baseline (Discrete),4,0.6
0.2,DQN Baseline (Discrete),5,0.5833333333333334
0.2,DQN Baseline (Discrete),6,0.5666666666666667
0.2,DQN Baseline (Discrete),7,0.5
0.2,DQN Baseline (Discrete),8,0.65
0.2,DQN Baseline (Discrete),9,0.6
0.2,DQN Baseline (Discrete),10,0.6
0.2,DQN Baseline (Discrete),11,0.6166666666666667
0.2,DQN Baseline (Discrete),12,0.6
0.2,DQN Baseline (Discrete),13,0.6166666666666667
0.2,DQN Baseline (Discrete),14,0.5
0.2,DQN Baseline (Discrete),15,0.65
0.2,DQN Baseline (Discrete),16,0.6166666666666667
0.2,DQN Baseline (Discrete),17,0.5666666666666667
0.2,DQN Baseline (Discrete),18,0.5833333333333334
0.2,DQN Baseline (Discrete),19,0.6
0.2,DQN Baseline (Discrete),20,0.6
0.5,No Defence,1,4.75
0.5,No Defence,2,4.733333333333333
0.5,No Defence,3,4.15
0.5,No Defence,4,4.15
0.5,No Defence,5,5.316666666666666
0.5,No Defence,6,3.8666666666666667
0.5,No Defence,7,4.35
0.5,No Defence,8,5.1
0.5,No Defence,9,3.5833333333333335
0.5,No Defence,10,4.466666666666667
0.5,No Defence,11,4.716666666666667
0.5,No Defence,12,4.333333333333333
0.5,No Defence,13,3.716666666666667
0.5,No Defence,14,4.8
0.5,No Defence,15,4.3
0.5,No Defence,16,5.533333333333333
0.5,No Defence,17,4.466666666666667
0.5,No Defence,18,5.55
0.5,No Defence,19,4.05
0.5,No Defence,20,3.8166666666666664
0.5,GAT-SAC (Ours),1,13.083333333333334
0.5,GAT-SAC (Ours),2,11.85
0.5,GAT-SAC (Ours),3,9.733333333333333
0.5,GAT-SAC (Ours),4,16.583333333333332
0.5,GAT-SAC (Ours),5,16.78333333333333
0.5,GAT-SAC (Ours),6,13.616666666666667
0.5,GAT-SAC (Ours),7,13.666666666666666
0.5,GAT-SAC (Ours),8,17.016666666666666
0.5,GAT-SAC (Ours),9,12.566666666666666
0.5,GAT-SAC (Ours),10,13.45
0.5,GAT-SAC (Ours),11,16.233333333333334
0.5,GAT-SAC (Ours),12,13.299999999999999
0.5,GAT-SAC (Ours),13,13.049999999999999
0.5,GAT-SAC (Ours),14,10.283333333333333
